"importStatus","category","goodreadsId","title","author","rating","isbn","dateRead","goodreadsUrl","openLibraryId","openLibraryEditionId","coverUrl","coverId","freeText"
"unmapped","enjoyed","57937068","El invencible verano de Liliana","Cristina Rivera Garza","4","","2026-08-05","https://www.goodreads.com/book/show/57937068","","","",,"Importado de Goodreads; rating 4/5."
"mapped","enjoyed","41743264","Reina roja (Antonia Scott, #1)","Juan G├│mez-Jurado","4","8466664416","2026-08-01","https://www.goodreads.com/book/show/41743264","/works/OL20639823W","","https://covers.openlibrary.org/b/id/9256100-L.jpg","9256100","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","231108670","Strangers: A Memoir of Marriage","Belle Burden","5","0593733312","2026-07-26","https://www.goodreads.com/book/show/231108670","/works/OL44815782W","","https://covers.openlibrary.org/b/id/15165045-L.jpg","15165045","Importado de Goodreads; rating 5/5."
"unmapped","enjoyed","219111882","Wisteria (Belladonna, #3)","Adalyn  Grace","4","8410085313","2026-07-22","https://www.goodreads.com/book/show/219111882","","","",,"Importado de Goodreads; rating 4/5."
"mapped","enjoyed","231517013","Todos los fines del mundo","Andrea Chapela","4","6073857454","2026-07-12","https://www.goodreads.com/book/show/231517013","/works/OL45868588W","","https://covers.openlibrary.org/b/id/15244210-L.jpg","15244210","Importado de Goodreads; rating 4/5."
"unmapped","enjoyed","219446158","A Forgery of Fate","Elizabeth Lim","4","0593650638","2026-07-07","https://www.goodreads.com/book/show/219446158","","","",,"Importado de Goodreads; rating 4/5."
"mapped","enjoyed","2182780","Batman: The Man Who Laughs","Ed Brubaker","4","1401216226","2026-06-28","https://www.goodreads.com/book/show/2182780","/works/OL5753162W","","https://covers.openlibrary.org/b/id/2737853-L.jpg","2737853","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","238226942","Yesteryear","Caro Claire Burke","4","","2026-06-27","https://www.goodreads.com/book/show/238226942","/works/OL45177696W","","https://covers.openlibrary.org/b/id/15234864-L.jpg","15234864","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","34051011","Pachinko","Min Jin Lee","5","","2026-06-22","https://www.goodreads.com/book/show/34051011","/works/OL17762217W","","https://covers.openlibrary.org/b/id/8044605-L.jpg","8044605","Importado de Goodreads; rating 5/5."
"unmapped","enjoyed","184215103","Foxglove (Belladonna, #2)","Adalyn  Grace","4","8419030619","2026-06-11","https://www.goodreads.com/book/show/184215103","","","",,"Importado de Goodreads; rating 4/5."
"mapped","enjoyed","240424526","Half His Age","Jennette McCurdy","4","0593723732","2026-06-04","https://www.goodreads.com/book/show/240424526","/works/OL44829733W","","https://covers.openlibrary.org/b/id/15166163-L.jpg","15166163","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","62874245","The Drowning Woman","Robyn Harding","4","1538726769","2026-05-19","https://www.goodreads.com/book/show/62874245","/works/OL31141322W","","https://covers.openlibrary.org/b/id/13599473-L.jpg","13599473","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","223001257","The Correspondent","Virginia      Evans","5","0593798430","2026-05-16","https://www.goodreads.com/book/show/223001257","/works/OL42414694W","","https://covers.openlibrary.org/b/id/15232808-L.jpg","15232808","Importado de Goodreads; rating 5/5."
"mapped","enjoyed","102187706","Belladonna","Adalyn  Grace","4","8419413453","2026-05-13","https://www.goodreads.com/book/show/102187706","/works/OL26602235W","","https://covers.openlibrary.org/b/id/12905843-L.jpg","12905843","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","59980","Batman: Year One","Frank Miller","4","1401207529","2026-05-05","https://www.goodreads.com/book/show/59980","/works/OL253475W","","https://covers.openlibrary.org/b/id/2996338-L.jpg","2996338","Importado de Goodreads; rating 4/5."
"unmapped","enjoyed","29981261","The Butterfly Garden  (The Collector, #1)","Dot Hutchison","4","1503989712","2026-05-03","https://www.goodreads.com/book/show/29981261","","","",,"Importado de Goodreads; rating 4/5."
"mapped","enjoyed","221251828","Buckeye","Patrick Ryan","4","0593595033","2026-04-12","https://www.goodreads.com/book/show/221251828","/works/OL42441479W","","https://covers.openlibrary.org/b/id/15119658-L.jpg","15119658","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","53305767","Once a Villain (Monsters, #3)","Vanessa Len","4","0063024748","2026-04-05","https://www.goodreads.com/book/show/53305767","/works/OL42435182W","","https://covers.openlibrary.org/b/id/15180048-L.jpg","15180048","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","20764879","A Gathering of Shadows (Shades of Magic, #2)","V.E. Schwab","4","0765376474","2026-03-26","https://www.goodreads.com/book/show/20764879","/works/OL17714885W","","https://covers.openlibrary.org/b/id/7990183-L.jpg","7990183","Importado de Goodreads; rating 4/5."
"mapped","enjoyed","222706197","Alchemy of Secrets (Alchemy of Secrets, #1)","Stephanie Garber","4","125078915X","2026-03-21","https://www.goodreads.com/book/show/222706197","/works/OL44220705W","","https://covers.openlibrary.org/b/id/15133364-L.jpg","15133364","Importado de Goodreads; rating 4/5."
