"shelf","page","goodreadsUserId","goodreadsBookId","title","author","isbn","userRating","averageRating","dateRead","dateAdded","shelves","category","bookUrl","reviewUrl","review","description","published"
"read","1","21161465","57937068","El invencible verano de Liliana","Cristina Rivera Garza","","4","4.57","Wed, 5 Aug 2026 00:00:00 +0000","Wed, 05 Aug 2026 20:42:04 -0700","","enjoyed","https://www.goodreads.com/book/show/57937068","https://www.goodreads.com/review/show/8823004736?utm_medium=api&utm_source=rss","","El 16 de julio de 1990, Liliana Rivera Garza, mi hermana, fue víctima de un feminicidio. Era una muchacha de 20 años, estudiante de arquitectura. Tenía años tratando de terminar su relación con un novio de la preparatoria que insistía en no dejarla ir. Unas cuantas semanas antes de la tragedia, Liliana por fin tomó la decisión definitiva: en lo más crudo del invierno había descubierto que en ella, como bien lo había dicho Albert Camus, había un invencible verano. Lo dejaría atrás. Empezaría una nueva vida. Haría una maestría y después un doctorado, viajaría a Londres. La decisión de él fue que ella no tendría una vida sin él. Hace apenas un año decidí abrir las cajas donde depositamos las pertenencias de mi hermana. Su voz atravesó el tiempo y, como la de tantas mujeres desaparecidas y ultrajadas en México, demandó justicia. <i>El invencible verano de Liliana</i> es una excavación en la vida de una mujer brillante y audaz que careció, como nosotros mismos, como todos los demás, del lenguaje necesario para identificar, denunciar y luchar contra la violencia sexista y el terrorismo de pareja que caracteriza a tantas relaciones patriarcales. Este libro es para celebrar su paso por la tierra y para decirle que, claro que sí, lo vamos a tirar. Al patriarcado lo vamos a tirar.","2021"
"read","1","21161465","41743264","Reina roja (Antonia Scott, #1)","Juan Gómez-Jurado","8466664416","4","4.10","Sat, 1 Aug 2026 00:00:00 +0000","Sat, 01 Aug 2026 00:09:26 -0700","","enjoyed","https://www.goodreads.com/book/show/41743264","https://www.goodreads.com/review/show/8804576921?utm_medium=api&utm_source=rss","","NO HAS CONOCIDO A NADIE COMO ELLA<br /><br />Antonia Scott es especial. Muy especial.<br /><br />No es policía ni criminalista. Nunca ha empuñado un arma ni llevado una placa, y, sin embargo, ha resuelto decenas de crímenes.<br /><br />Pero hace un tiempo que Antonia no sale de su ático de Lavapiés. Las cosas que ha perdido le importan mucho más que las que esperan ahí fuera.<br /><br />Tampoco recibe visitas. Por eso no le gusta nada, nada, cuando escucha unos pasos desconocidos subiendo las escaleras hasta el último piso.<br /><br />Sea quien sea, Antonia está segura de que viene a buscarla.<br /><br />Y eso le gusta aún menos.<br /><br />NO HAS LEÍDO NUNCA UN <i>THRILLER</i> COMO ESTE","2018"
"read","1","21161465","219111882","Wisteria (Belladonna, #3)","Adalyn  Grace","8410085313","4","4.11","Wed, 22 Jul 2026 00:00:00 +0000","Wed, 22 Jul 2026 22:07:38 -0700","","enjoyed","https://www.goodreads.com/book/show/219111882","https://www.goodreads.com/review/show/8768298649?utm_medium=api&utm_source=rss","","<i>Eres todo un misterio para mí. Una rosa silvestre, sus espinas contra mi costado.</i><br /><br />Blythe Hawthorne jamás ha dejado que nadie le diga lo que debe hacer: ni la sociedad, ni su sobreprotector padre y, ciertamente, no permitirá que lo haga el hombre al que se ha unido, sin importarle lo insufrible y maleducado que sea. De hecho, está decidida a ser una espina clavada en su costado durante el resto de su vida, aunque eso signifique que sus días en palacio no sean para nada como en un cuento de hadas.<br /><br />Sin embargo, cuando descubre un nuevo aspecto de su vida que la vincula al pasado de él, Blythe tendrá que preguntarse si está dispuesta a dejar que una chispa inesperada prenda fuego… Y si está preparada para descubrir toda la verdad sobre su pasado.","2024"
"read","1","21161465","206318521","Just Kids","Patti Smith","006621131X","3","4.21","Wed, 1 Jul 2026 00:00:00 +0000","Wed, 01 Jul 2026 21:08:45 -0700","","neutral","https://www.goodreads.com/book/show/206318521","https://www.goodreads.com/review/show/8728326945?utm_medium=api&utm_source=rss","","In <i>Just Kids</i>, Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality to <i>Just Kids</i> as she has to the rest of her formidable body of work--from her influential 1975 album <i>Horses</i> to her visual art and poetry.","2010"
"read","1","21161465","2182780","Batman: The Man Who Laughs","Ed Brubaker","1401216226","4","4.08","Sun, 28 Jun 2026 00:00:00 +0000","Sun, 28 Jun 2026 21:22:27 -0700","","enjoyed","https://www.goodreads.com/book/show/2182780","https://www.goodreads.com/review/show/8724454365?utm_medium=api&utm_source=rss","","Written by Ed Brubaker Art by Doug Mahnke, Patrick Zircher, Aaron Sowd and Steve Bird Cover by Mahnke Witness Batman's first encounter with The Joker in this hardcover volume collecting the graphic novel BATMAN: THE MAN WHO LAUGHS, by Ed Brubaker and Doug Mahnke! This collection also includes DETECTIVE COMICS #784-786, a murder-mystery tale guest-starring Green Lantern Alan Scott!","2005"
"read","1","21161465","184215103","Foxglove (Belladonna, #2)","Adalyn  Grace","8419030619","4","3.99","Thu, 11 Jun 2026 00:00:00 +0000","Thu, 11 Jun 2026 08:57:20 -0700","","enjoyed","https://www.goodreads.com/book/show/184215103","https://www.goodreads.com/review/show/8660528133?utm_medium=api&utm_source=rss","","The captivating sequel to the Gothic-infused Belladonna, in which Signa and Death face a supernatural foe determined to tear them apart.<br /><br />A duke has been murdered. The lord of Thorn Grove has been framed. And Fate, the elusive brother of Death, has taken up residence in a sumptuous estate nearby. He's hellbent on revenge after Death took the life of the woman he loved many years ago...and now he's determined to have Signa for himself, no matter the cost.<br /><br />Signa and her cousin Blythe are certain that Fate can save Elijah Hawthorne from prison if they will entertain his presence. But the more time the girls spend with Fate, the more frightening their reality becomes as Signa exhibits dramatic new powers that link her to Fate's past. With mysteries and danger around every corner, the cousins must decide if they can trust one another as they navigate their futures in high society, unravel the murders that haunt their family, and play Fate's unexpected games—all with their destinies hanging in the balance.<br /><br />Dangerous, suspenseful, and seductive, this sequel to Signa and Death's story is as utterly romantic as it is perfectly deadly.","2023"
"read","1","21161465","231517013","Todos los fines del mundo","Andrea Chapela","6073857454","4","3.71","Sun, 12 Jul 2026 00:00:00 +0000","Sun, 12 Jul 2026 18:54:02 -0700","","enjoyed","https://www.goodreads.com/book/show/231517013","https://www.goodreads.com/review/show/8599661959?utm_medium=api&utm_source=rss","","«¿Con quién pasarías el fin del mundo?» podría parecer una pregunta hipotética, pero para Angélica, que vive en un mundo dominado por la catástrofe climática, con estaciones extremas y días de encierro, se vuelve una obsesión. En Madrid, Manu y Susana, sus vecinos, amigos, amores, representan una opción posible: los tres juntos, acostados en el parque; juntos, abrazados viendo alguna película en el cuarto de Manu; juntos, durante la emergencia, en el bar que atiende Susana. Antes de responder, Angélica debe regresar a México llevándose con ella esa pregunta, que la acompañará incluso después del colapso global.<br /><br />Todos los fines del mundo es una historia dividida en tres partes que se desplaza con gran inteligencia entre lugares, géneros literarios y temporalidades, e indaga la tenue división entre la amistad y el amor. Con fuerza y talento narrativo, Andrea Chapela nos devuelve con esta novela una esperanza de futuro incluso en medio del desastre.",""
"read","1","21161465","231108670","Strangers: A Memoir of Marriage","Belle Burden","0593733312","5","4.05","Sun, 26 Jul 2026 00:00:00 +0000","Sun, 26 Jul 2026 15:43:00 -0700","","enjoyed","https://www.goodreads.com/book/show/231108670","https://www.goodreads.com/review/show/8579485428?utm_medium=api&utm_source=rss","","<i>It was a great love story, one for the ages. The speed of our beginning and the speed of our ending felt like matching bookends. They both came out of nowhere. He wanted it, he wanted me. And then he didn’t.</i><br /><br />In March 2020, Belle Burden was safe and secure with her family at their house on Martha’s Vineyard, navigating the early days of the pandemic together—building fires in the late afternoons, drinking whisky sours, making roast chicken. Then, with no warning or explanation, her husband of twenty years announced that he was leaving her. Overnight, her caring, steady partner became a man she hardly recognized. He exited his life with her like an actor shrugging off a costume.<br /><br />In <i>Strangers,</i> Burden revisits her marriage, searching for clues that her husband was not who she always thought he was. As she examines her relationship through a new lens, she reckons with her own family history and the lessons she intuited about how a woman is expected to behave in the face of betrayal. Through all of it, she is transformed. The discreet, compliant woman she once was—someone nicknamed “Belle the Good”—gives way to someone braver, someone determined to use her voice.<br /><br />With unflinching honesty and profound grace, Burden charts a path through heartbreak to show the power of a woman who refuses to give up on love. <i>Strangers</i> is a stunning, deeply moving, compulsively readable memoir heralding the arrival of a thrilling new literary talent.","2026"
"read","1","21161465","238226942","Yesteryear","Caro Claire Burke","","4","3.86","Sat, 27 Jun 2026 00:00:00 +0000","Sat, 27 Jun 2026 08:41:03 -0700","","enjoyed","https://www.goodreads.com/book/show/238226942","https://www.goodreads.com/review/show/8579483117?utm_medium=api&utm_source=rss","","Natalie lives a traditional lifestyle – and her followers are sick with envy. Her charming farmhouse on her working ranch is artfully cluttered, her husband is a handsome cowboy, her homemade sourdough boules are each more beautiful than the last. So what if there are nannies and producers and industrial-grade ovens behind the scenes? What her followers don’t know won’t hurt them.<br /><br />Then, one morning, Natalie wakes up in a strange, horrible version of reality. Her home, her husband, her children—they’re all familiar, but something’s off. Is this a hoax? A reality show? A test from God? Natalie knows just two things for sure: this isn't her perfect life, and she must escape, by any means possible.<br /><br />As darkly funny as it is shocking and gripping, Yesteryear is an electrifying examination of tradition, fame, faith and the grand performance of womanhood, from a thrilling new talent in fiction.","2026"
"read","1","21161465","59980","Batman: Year One","Frank Miller","1401207529","4","4.24","Tue, 5 May 2026 00:00:00 +0000","Tue, 05 May 2026 18:39:30 -0700","","enjoyed","https://www.goodreads.com/book/show/59980","https://www.goodreads.com/review/show/8576725715?utm_medium=api&utm_source=rss","","A new edition of one of the most important and critically acclaimed Batman adventures ever, written by Frank Miller, author of <i>The Dark Knight Returns</i>!<br /><br />In 1986, Frank Miller and David Mazzucchelli produced this groundbreaking reinterpretation of the origin of Batman—who he is and how he came to be.<br /><br />Written shortly after <i>The Dark Knight Returns</i>, Miller's dystopian fable of Batman's final days, <i>Year One</i> set the stage for a new vision of a legendary character.<br /><br />This edition includes the complete graphic novel, a new introduction by writer Frank Miller and a new illustrated afterword by artist David Mazzucchelli. Completing this collection are over 40 pages of never-before-seen developmental material such as character and layout sketches, sample script pages, sketches and more that provide a glimpse into the making of this contemporary classic.<br /><br />This volume collects <i>Batman</i> #404–407.","1988"
